Player,Team,"Year 
Signed",Years,Value,APY,Guaranteed,"APY as % Of 
Cap At Signing","Inflated 
Value","Inflated 
APY","Inflated 
Guaranteed"
Brett Rypien,Broncos,2019,3,"$1,765,000","$588,333","$146,000",0.3%,"$2,395,223","$798,407","$198,132"
Brett Rypien,Broncos,2019,2,"$1,080,000","$540,000",$0,0.3%,"$1,465,632","$732,816",$0
Brett Rypien,Broncos,2019,1,"$494,989","$494,989",$0,0.3%,"$671,733","$671,733",$0
Brett Rypien,Rams,2023,1,"$410,200","$410,200",$0,0.2%,"$466,037","$466,037",$0
Brett Rypien,Broncos,2019,1,"$340,000","$340,000",$0,0.2%,"$461,403","$461,403",$0
Brett Rypien,Seahawks,2023,1,"$370,800","$370,800",$0,0.2%,"$421,274","$421,274",$0
Brett Rypien,Seahawks,2023,1,"$370,800","$370,800",$0,0.2%,"$421,274","$421,274",$0
Brett Rypien,Rams,2023,1,"$370,800","$370,800",$0,0.2%,"$421,274","$421,274",$0
Brett Rypien,Broncos,2021,1,"$165,600","$165,600",$0,0.1%,"$231,749","$231,749",$0
Brett Rypien,Broncos,2020,1,"$142,800","$142,800",$0,0.1%,"$184,012","$184,012",$0
Brett Smith,Buccaneers,0,4,"$1,530,000","$510,000",$0,0%,$0,$0,$0
Brian Hoyer,Texans,2015,2,"$10,500,000","$5,250,000","$4,750,000",3.7%,"$18,716,499","$9,358,250","$8,466,988"
Brian Hoyer,49ers,2017,2,"$12,000,000","$6,000,000","$9,850,000",3.6%,"$18,352,096","$9,176,048","$15,064,012"
Brian Hoyer,Colts,2019,3,"$12,000,000","$4,000,000","$9,000,000",2.1%,"$16,284,803","$5,428,268","$12,213,603"
Brian Hoyer,Cardinals,2013,1,"$2,023,000","$2,023,000",$0,1.6%,"$4,200,603","$4,200,603",$0
Brian Hoyer,Patriots,2012,1,"$1,927,000","$1,927,000",$0,1.6%,"$4,080,894","$4,080,894",$0
Brian Hoyer,Bears,2016,1,"$2,000,000","$2,000,000","$750,000",1.3%,"$3,289,753","$3,289,753","$1,233,657"
Brian Hoyer,Raiders,2023,2,"$4,500,000","$2,250,000","$4,205,000",1%,"$5,112,544","$2,556,272","$4,777,389"
Brian Hoyer,Patriots,2017,3,"$4,815,000","$1,605,000","$1,510,000",1%,"$7,363,778","$2,454,593","$2,309,305"
Brian Hoyer,Patriots,2022,2,"$4,000,000","$2,000,000","$3,000,000",1%,"$4,906,820","$2,453,410","$3,680,115"
Brian Hoyer,Browns,2013,2,"$1,965,000","$982,500","$250,000",0.8%,"$4,080,171","$2,040,085","$519,106"
Brian Hoyer,Patriots,2021,1,"$1,075,000","$1,075,000",$0,0.6%,"$1,504,411","$1,504,411",$0
Brian Hoyer,Patriots,2021,1,"$1,075,000","$1,075,000","$100,000",0.6%,"$1,504,411","$1,504,411","$139,945"
Brian Hoyer,Patriots,2020,1,"$1,050,000","$1,050,000",$0,0.5%,"$1,353,027","$1,353,027",$0
Brian Hoyer,PIT/ARI,2012,1,"$615,000","$615,000",$0,0.5%,"$1,302,413","$1,302,413",$0
Brian Hoyer,Patriots,2009,3,"$1,197,500","$399,167","$12,500",0.3%,"$2,486,516","$828,839","$25,955"
Brian Hoyer,Patriots,2021,1,"$297,722","$297,722",$0,0.2%,"$416,648","$416,648",$0
Brian Hoyer,Patriots,2021,1,"$252,000","$252,000",$0,0.1%,"$352,662","$352,662",$0
Brian Lewerke,Patriots,2020,3,"$2,287,500","$762,500","$2,500",0.4%,"$2,947,666","$982,555","$3,221"
Brian Lewerke,Giants,2021,1,"$660,000","$660,000",$0,0.4%,"$923,638","$923,638",$0
Brian Lewerke,Giants,2022,1,"$713,500","$713,500","$8,500",0.3%,"$875,254","$875,254","$10,427"
Brian Lewerke,Patriots,2020,1,"$610,000","$610,000",$0,0.3%,"$786,044","$786,044",$0
Brian Lewerke,Giants,2021,1,"$165,600","$165,600",$0,0.1%,"$231,749","$231,749",$0
Broc Rutter,49ers,2020,3,"$2,285,279","$761,760",$279,0.4%,"$2,944,805","$981,602",$360
Brock Osweiler,HOU/CLE,2016,4,"$72,000,000","$18,000,000","$37,000,000",11.6%,"$118,431,120","$29,607,780","$60,860,437"
Brock Osweiler,Broncos,2012,4,"$3,516,678","$879,170","$997,584",0.7%,"$7,447,426","$1,861,858","$2,112,628"
Brock Osweiler,Dolphins,2018,1,"$880,000","$880,000","$630,000",0.5%,"$1,268,352","$1,268,352","$908,025"
Brock Osweiler,Broncos,2017,1,"$775,000","$775,000",$0,0.5%,"$1,185,240","$1,185,240",$0
Brock Purdy,49ers,2022,4,"$3,737,012","$934,253","$77,012",0.4%,"$4,584,212","$1,146,053","$94,471"
Brogan Roback,Browns,2018,3,"$1,711,000","$570,333","$1,000",0.3%,"$2,466,080","$822,026","$1,441"
Brogan Roback,Steelers,2019,1,"$495,000","$495,000",$0,0.3%,"$671,748","$671,748",$0
Bruce Gradkowski,Steelers,2016,1,"$965,000","$965,000","$80,000",0.6%,"$1,587,306","$1,587,306","$131,590"
Bryan Bennett,Colts,2015,3,"$1,585,000","$528,333","$10,000",0.4%,"$2,825,300","$941,766","$17,825"
Bryce Perkins,Rams,2021,2,"$1,485,000","$742,500",$0,0.4%,"$2,078,186","$1,039,093",$0
Bryce Perkins,Rams,2020,3,"$2,290,000","$763,333","$5,000",0.4%,"$2,950,888","$983,629","$6,443"
Bryce Perkins,Rams,2020,1,"$170,282","$170,282",$0,0.1%,"$219,425","$219,425",$0
Bryce Petty,NYJ/MIA,2015,4,"$2,833,696","$708,424","$553,696",0.5%,"$5,051,130","$1,262,783","$986,976"
Bryce Young,Panthers,2023,4,"$37,955,074","$9,488,769","$37,955,074",4.2%,"$43,121,556","$10,780,390","$43,121,556"
Bryn Renner,Steelers,2016,1,"$450,000","$450,000",$0,0.3%,"$740,194","$740,194",$0
C.J. Beathard,Jaguars,2021,2,"$5,000,000","$2,500,000","$2,750,000",1.4%,"$6,997,260","$3,498,630","$3,848,493"
C.J. Beathard,Jaguars,2023,2,"$4,500,000","$2,250,000","$2,000,000",1%,"$5,112,544","$2,556,272","$2,272,242"
C.J. Beathard,49ers,2017,4,"$3,528,646","$882,162","$706,288",0.5%,"$5,396,504","$1,349,127","$1,080,155"
C.J. Beathard,Jaguars,2024,1,"$1,310,000","$1,310,000","$100,000",0.5%,"$1,310,000","$1,310,000","$100,000"
C.J. Beathard,Dolphins,2024,1,"$302,400","$302,400",$0,0.1%,"$302,400","$302,400",$0
C.J. Stroud,Texans,2023,4,"$36,279,246","$9,069,812","$36,279,246",4%,"$41,217,613","$10,304,404","$41,217,613"
Caleb Hanie,Cowboys,0,1,"$730,000","$730,000",$0,0%,$0,$0,$0
Caleb Williams,Bears,2024,4,"$39,486,058","$9,871,515","$39,486,058",3.9%,"$39,486,058","$9,871,515","$39,486,058"
Cam Newton,Panthers,2015,5,"$103,800,000","$20,760,000","$60,000,000",14.5%,"$185,025,963","$37,005,193","$106,951,424"
Cam Newton,Panthers,2011,4,"$22,025,498","$5,506,375","$22,025,498",4.6%,"$46,731,565","$11,682,892","$46,731,565"
Cam Newton,Panthers,2021,1,"$8,250,000","$8,250,000","$4,500,000",4.5%,"$11,545,479","$11,545,479","$6,297,534"
Cam Newton,Patriots,2021,1,"$5,100,000","$5,100,000","$3,500,000",2.8%,"$7,137,205","$7,137,205","$4,898,082"
Cam Newton,Patriots,2020,1,"$1,750,000","$1,750,000","$550,000",0.9%,"$2,255,045","$2,255,045","$708,729"
Cardale Jones,Chargers,2016,4,"$2,723,392","$680,848","$383,392",0.4%,"$4,479,644","$1,119,911","$630,633"
Cardale Jones,Bills,2016,4,"$2,723,392","$680,848","$383,392",0.4%,"$4,479,644","$1,119,911","$630,633"
Cardale Jones,Chargers,2019,1,"$645,000","$645,000",$0,0.3%,"$875,308","$875,308",$0
Cardale Jones,Chargers,2018,1,"$129,200","$129,200",$0,0.1%,"$186,217","$186,217",$0
Cardale Jones,Seahawks,2019,1,"$136,000","$136,000",$0,0.1%,"$184,561","$184,561",$0
Carson Palmer,Bengals,2005,6,"$97,000,000","$16,166,667","$24,000,000",18.9%,"$289,752,047","$48,292,009","$71,691,228"
Carson Palmer,Cardinals,2016,1,"$21,000,000","$21,000,000","$27,150,000",13.5%,"$34,542,410","$34,542,410","$44,658,401"
Carson Palmer,Cardinals,2014,3,"$49,500,000","$16,500,000","$24,735,294",12.4%,"$95,054,887","$31,684,962","$47,499,204"
Carson Palmer,Raiders,2011,4,"$43,000,000","$10,750,000","$5,000,000",8.9%,"$91,233,229","$22,808,307","$10,608,515"
Carson Palmer,Bengals,2003,6,"$40,000,000","$6,666,667","$14,010,000",8.9%,"$136,200,621","$22,700,105","$47,704,268"
Carson Palmer,Cardinals,2013,2,"$17,000,000","$8,500,000","$10,000,000",6.9%,"$35,299,187","$17,649,593","$20,764,228"
Carson Strong,Eagles,2022,3,"$2,580,000","$860,000","$320,000",0.4%,"$3,164,899","$1,054,966","$392,546"
Carson Strong,Cardinals,2022,1,"$207,000","$207,000",$0,0.1%,"$253,928","$253,928",$0
Carson Wentz,IND/PHI/WAS,2019,4,"$128,000,000","$32,000,000","$107,870,683",17%,"$173,704,570","$43,426,142","$146,387,739"
Carson Wentz,Eagles,2016,4,"$26,676,338","$6,669,085","$26,676,338",4.3%,"$43,879,286","$10,969,822","$43,879,286"
Carson Wentz,Chiefs,2024,1,"$3,325,000","$3,325,000","$2,200,000",1.3%,"$3,325,000","$3,325,000","$2,200,000"
Carson Wentz,Rams,2023,1,"$1,315,000","$1,315,000","$150,000",0.6%,"$1,493,999","$1,493,999","$170,418"
Carter Bradley,Raiders,2024,3,"$2,855,000","$951,667","$125,000",0.4%,"$2,855,000","$951,667","$125,000"
Carter Bradley,Raiders,2024,1,"$256,667","$256,667",$0,0.1%,"$256,667","$256,667",$0
Carter Bradley,Raiders,2024,1,"$225,000","$225,000",$0,0.1%,"$225,000","$225,000",$0
Case Cookus,Broncos,2021,2,"$1,485,000","$742,500",$0,0.4%,"$2,078,186","$1,039,093",$0
Case Cookus,Giants,2020,3,"$2,295,000","$765,000","$35,000",0.4%,"$2,957,331","$985,777","$45,101"
Case Cookus,Raiders,2021,1,"$660,000","$660,000",$0,0.4%,"$923,638","$923,638",$0
Case Cookus,Vikings,2021,1,"$660,000","$660,000",$0,0.4%,"$923,638","$923,638",$0
Case Cookus,Rams,2022,1,"$207,000","$207,000",$0,0.1%,"$253,928","$253,928",$0
Case Keenum,Broncos,2018,2,"$36,000,000","$18,000,000","$36,000,000",10.2%,"$51,887,133","$25,943,567","$51,887,133"
Case Keenum,Commanders,2019,1,"$7,500,000","$7,500,000","$7,500,000",4%,"$10,178,002","$10,178,002","$10,178,002"
Case Keenum,CLE/BUF,2020,3,"$18,000,000","$6,000,000","$10,000,000",3%,"$23,194,753","$7,731,584","$12,885,974"
Case Keenum,Bills,2022,1,"$3,500,000","$3,500,000","$2,000,000",1.7%,"$4,293,468","$4,293,468","$2,453,410"
Case Keenum,Texans,2023,2,"$6,250,000","$3,125,000","$4,000,000",1.4%,"$7,100,756","$3,550,378","$4,544,484"
Case Keenum,Vikings,2017,1,"$2,000,000","$2,000,000","$250,000",1.2%,"$3,058,683","$3,058,683","$382,335"
Case Keenum,HOU/LAR,2015,1,"$585,000","$585,000",$0,0.4%,"$1,042,776","$1,042,776",$0
Case Keenum,Texans,2012,3,"$1,452,000","$484,000","$12,000",0.4%,"$3,074,965","$1,024,988","$25,413"
Case Keenum,Texans,2014,1,"$495,000","$495,000",$0,0.4%,"$950,549","$950,549",$0
Case Keenum,LAR/HOU,2013,2,"$900,000","$450,000",$0,0.4%,"$1,868,780","$934,390",$0
Case Keenum,Rams,2014,1,"$107,100","$107,100",$0,0.1%,"$205,664","$205,664",$0
Case Keenum,Texans,2012,1,"$96,900","$96,900",$0,0.1%,"$205,209","$205,209",$0
Casey Bauman,Chargers,2024,3,"$2,840,000","$946,667","$10,000",0.4%,"$2,840,000","$946,667","$10,000"
Chad Henne,Jaguars,2014,2,"$8,000,000","$4,000,000","$4,500,000",3%,"$15,362,406","$7,681,203","$8,641,353"
Chad Henne,Jaguars,2012,2,"$6,750,000","$3,375,000","$4,075,000",2.8%,"$14,294,776","$7,147,388","$8,629,809"
Chad Henne,Jaguars,2016,2,"$8,000,000","$4,000,000","$4,500,000",2.6%,"$13,159,013","$6,579,507","$7,401,945"
Chad Henne,Jaguars,2017,1,"$3,500,000","$3,500,000","$500,000",2.1%,"$5,352,695","$5,352,695","$764,671"
Chad Henne,Chiefs,2018,2,"$6,700,000","$3,350,000","$5,115,000",1.9%,"$9,656,772","$4,828,386","$7,372,297"
Chad Henne,Chiefs,2022,1,"$2,000,000","$2,000,000","$2,000,000",1%,"$2,453,410","$2,453,410","$2,453,410"
Chad Henne,Chiefs,2020,2,"$3,250,000","$1,625,000","$2,750,000",0.8%,"$4,187,941","$2,093,971","$3,543,643"
Chad Henne,Dolphins,2008,4,"$3,430,100","$857,525","$1,425,100",0.7%,"$7,552,134","$1,888,033","$3,137,677"
Chad Kanoff,Cardinals,2018,3,"$1,712,000","$570,667","$2,000",0.3%,"$2,467,521","$822,508","$2,883"
Chad Kanoff,Cardinals,2018,2,"$1,050,000","$525,000",$0,0.3%,"$1,513,375","$756,687",$0
Chad Kanoff,Cardinals,2019,1,"$495,000","$495,000",$0,0.3%,"$671,748","$671,748",$0
Chad Kanoff,Cardinals,2018,1,"$129,200","$129,200",$0,0.1%,"$186,217","$186,217",$0
Chad Kanoff,Cardinals,2018,1,"$129,200","$129,200",$0,0.1%,"$186,217","$186,217",$0
Chad Kanoff,Lions,2019,1,"$136,000","$136,000",$0,0.1%,"$184,561","$184,561",$0
Chad Kelly,Broncos,2017,4,"$2,464,284","$616,071","$64,284",0.4%,"$3,768,731","$942,183","$98,312"
Chad Kelly,Colts,2019,2,"$1,230,000","$615,000",$0,0.3%,"$1,669,192","$834,596",$0
Chad Kelly,Colts,2019,1,"$570,000","$570,000",$0,0.3%,"$773,528","$773,528",$0
Chad Kelly,Colts,2020,1,"$142,800","$142,800",$0,0.1%,"$184,012","$184,012",$0
Chad Pennington,Jets,2004,7,"$64,198,000","$9,171,143","$18,000,000",11.4%,"$203,471,857","$29,067,409","$57,049,962"
Chad Pennington,Dolphins,2010,1,"$5,750,000","$5,750,000","$2,500,000",4.5%,"$11,384,109","$11,384,109","$4,949,612"
Chad Pennington,Dolphins,2008,2,"$8,000,000","$4,000,000","$3,500,000",3.4%,"$17,613,793","$8,806,897","$7,706,034"
Chad Pennington,Jets,2000,5,"$5,755,010","$1,151,002","$4,131,010",1.9%,"$23,641,343","$4,728,269","$16,970,018"
Chandler Harnish,Colts,2012,4,"$2,145,896","$536,474","$45,896",0.4%,"$4,544,460","$1,136,115","$97,196"
Chandler Harnish,Colts,2013,2,"$1,060,000","$530,000","$10,000",0.4%,"$2,201,008","$1,100,504","$20,764"
Chandler Harnish,MIN/IND,2014,2,"$1,080,000","$540,000",$0,0.4%,"$2,073,925","$1,036,962",$0
Chandler Harnish,Cardinals,2015,1,"$510,000","$510,000",$0,0.4%,"$909,087","$909,087",$0
Chandler Harnish,Colts,2013,1,"$102,000","$102,000",$0,0.1%,"$211,795","$211,795",$0
Chandler Harnish,Vikings,2014,1,"$107,100","$107,100",$0,0.1%,"$205,664","$205,664",$0
Chandler Harnish,Colts,2012,1,"$96,900","$96,900",$0,0.1%,"$205,209","$205,209",$0
Charlie Whitehurst,Seahawks,2010,1,"$6,824,000","$6,824,000","$2,000,000",5.3%,"$13,510,462","$13,510,462","$3,959,690"
Charlie Whitehurst,Titans,2014,2,"$4,000,000","$2,000,000","$2,000,000",1.5%,"$7,681,203","$3,840,602","$3,840,602"
Charlie Whitehurst,Titans,2015,1,"$2,000,000","$2,000,000",$0,1.4%,"$3,565,047","$3,565,047",$0
Charlie Whitehurst,Colts,2015,1,"$2,000,000","$2,000,000",$0,1.4%,"$3,565,047","$3,565,047",$0
Charlie Whitehurst,Chargers,2012,2,"$3,050,000","$1,525,000","$1,000,000",1.3%,"$6,459,121","$3,229,561","$2,117,745"
Charlie Whitehurst,Chargers,2010,1,"$1,176,000","$1,176,000",$0,0.9%,"$2,328,298","$2,328,298",$0
Charlie Whitehurst,Browns,2016,1,"$1,000,000","$1,000,000",$0,0.6%,"$1,644,877","$1,644,877",$0
Charlie Whitehurst,Chargers,2006,4,"$2,318,000","$579,500","$708,000",0.6%,"$5,804,090","$1,451,023","$1,772,776"
Chase Daniel,Eagles,2016,3,"$21,000,000","$7,000,000","$12,000,000",4.5%,"$34,542,410","$11,514,137","$19,738,520"
Chase Daniel,Bears,2018,2,"$10,000,000","$5,000,000","$7,000,000",2.8%,"$14,413,093","$7,206,546","$10,089,165"
Chase Daniel,Chiefs,2013,3,"$10,000,000","$3,333,333","$4,000,000",2.7%,"$20,764,228","$6,921,409","$8,305,691"
Chase Daniel,Lions,2020,3,"$13,050,000","$4,350,000","$5,000,000",2.2%,"$16,816,196","$5,605,399","$6,442,987"
Chase Daniel,Chargers,2022,1,"$2,000,000","$2,000,000","$1,120,000",1%,"$2,453,410","$2,453,410","$1,373,910"
Chase Daniel,Saints,2012,1,"$1,000,000","$1,000,000","$300,000",0.8%,"$2,117,745","$2,117,745","$635,323"
Chase Daniel,Chargers,2021,1,"$1,075,000","$1,075,000",$0,0.6%,"$1,504,411","$1,504,411",$0
Chase Daniel,Saints,2017,1,"$900,000","$900,000","$900,000",0.5%,"$1,376,407","$1,376,407","$1,376,407"
Chase Daniel,Commanders,2009,3,"$1,186,500","$395,500","$1,500",0.3%,"$2,463,676","$821,225","$3,115"
Chase Daniel,Saints,2009,3,"$1,185,000","$395,000",$0,0.3%,"$2,460,561","$820,187",$0
Chase Daniel,Saints,2009,1,"$88,400","$88,400",$0,0.1%,"$183,556","$183,556",$0
Chase Garbers,Raiders,2022,3,"$2,575,000","$858,333","$100,000",0.4%,"$3,158,766","$1,052,921","$122,671"
Chase Garbers,Raiders,2022,2,"$1,575,000","$787,500",$0,0.4%,"$1,932,061","$966,030",$0
Chase Garbers,Raiders,2023,1,"$750,000","$750,000",$0,0.3%,"$852,091","$852,091",$0
Chase Garbers,Raiders,2022,1,"$207,000","$207,000",$0,0.1%,"$253,928","$253,928",$0
Chase Litton,Chiefs,2018,3,"$1,720,000","$573,333","$20,000",0.3%,"$2,479,052","$826,350","$28,826"
Chase Litton,Chiefs,2019,1,"$495,000","$495,000",$0,0.3%,"$671,748","$671,748",$0
Chase Litton,Chiefs,2018,1,"$129,200","$129,200",$0,0.1%,"$186,217","$186,217",$0
Chase Litton,Jaguars,2019,1,"$136,000","$136,000",$0,0.1%,"$184,561","$184,561",$0
Chase Rettig,Chargers,2015,2,"$960,000","$480,000",$0,0.3%,"$1,711,223","$855,611",$0
Chevan Cordeiro,Seahawks,2024,3,"$2,837,500","$945,833","$17,500",0.4%,"$2,837,500","$945,833","$17,500"
Chris Oladokun,Steelers,2022,4,"$3,749,952","$937,488","$89,952",0.5%,"$4,600,085","$1,150,021","$110,345"
Chris Oladokun,Chiefs,2023,1,"$750,000","$750,000",$0,0.3%,"$852,091","$852,091",$0
Chris Oladokun,Chiefs,2024,1,"$805,000","$805,000","$135,000",0.3%,"$805,000","$805,000","$135,000"
Chris Oladokun,Chiefs,2023,1,"$245,667","$245,667",$0,0.1%,"$279,107","$279,107",$0
Chris Oladokun,Chiefs,2022,1,"$207,000","$207,000",$0,0.1%,"$253,928","$253,928",$0
Chris Oladokun,Chiefs,2023,1,"$216,000","$216,000",$0,0.1%,"$245,402","$245,402",$0
Chris Oladokun,Chiefs,2024,1,"$225,000","$225,000",$0,0.1%,"$225,000","$225,000",$0
Chris Streveler,Jets,2023,1,"$1,010,000","$1,010,000",$0,0.4%,"$1,147,482","$1,147,482",$0
Chris Streveler,Dolphins,2022,1,"$895,000","$895,000",$0,0.4%,"$1,097,901","$1,097,901",$0
Chris Streveler,Jets,2022,1,"$895,000","$895,000",$0,0.4%,"$1,097,901","$1,097,901",$0
Chris Streveler,Cardinals,2020,3,"$1,800,000","$600,000",$0,0.3%,"$2,319,475","$773,158",$0
Chris Streveler,Jets,2022,1,"$321,666","$321,666",$0,0.2%,"$394,589","$394,589",$0
Chris Streveler,Jets,2022,1,"$283,444","$283,444",$0,0.1%,"$347,702","$347,702",$0
Chris Streveler,Jets,2022,1,"$245,222","$245,222",$0,0.1%,"$300,815","$300,815",$0
Chris Streveler,Jets,2022,1,"$207,000","$207,000",$0,0.1%,"$253,928","$253,928",$0
Chris Streveler,Ravens,2021,1,"$165,600","$165,600",$0,0.1%,"$231,749","$231,749",$0
Christian Hackenberg,Raiders,2016,4,"$4,660,304","$1,165,076","$2,039,312",0.8%,"$7,665,625","$1,916,406","$3,354,417"
Christian Hackenberg,Jets,2016,4,"$4,660,304","$1,165,076","$209,312",0.8%,"$7,665,625","$1,916,406","$344,292"
Christian Hackenberg,Eagles,2018,1,"$630,000","$630,000",$0,0.4%,"$908,025","$908,025",$0
Christian Hackenberg,Bengals,2018,1,"$129,200","$129,200",$0,0.1%,"$186,217","$186,217",$0
Christian Ponder,Vikings,2011,4,"$10,158,698","$2,539,675","$10,158,698",2.1%,"$21,553,740","$5,388,436","$21,553,740"
Christian Ponder,Raiders,2015,1,"$2,250,000","$2,250,000","$1,500,000",1.6%,"$4,010,678","$4,010,678","$2,673,786"
Christian Ponder,Broncos,2015,1,"$745,000","$745,000",$0,0.5%,"$1,327,980","$1,327,980",$0
Christian Ponder,49ers,2016,1,"$800,000","$800,000",$0,0.5%,"$1,315,901","$1,315,901",$0
Clayton Thorson,Giants,2021,2,"$1,491,000","$745,500","$6,000",0.4%,"$2,086,583","$1,043,292","$8,397"
Clayton Thorson,Eagles,2019,4,"$2,794,368","$698,592","$274,368",0.4%,"$3,792,144","$948,036","$372,336"
Clayton Thorson,Cowboys,2020,2,"$1,160,000","$580,000",$0,0.3%,"$1,494,773","$747,386",$0
Clayton Thorson,Giants,2021,1,"$165,600","$165,600",$0,0.1%,"$231,749","$231,749",$0
Clayton Thorson,Giants,2021,1,"$165,600","$165,600",$0,0.1%,"$231,749","$231,749",$0
Clayton Thorson,Giants,2020,1,"$172,564","$172,564",$0,0.1%,"$222,366","$222,366",$0
Clayton Thorson,Cowboys,2019,1,"$136,000","$136,000",$0,0.1%,"$184,561","$184,561",$0
Clayton Thorson,Giants,2020,1,"$142,800","$142,800",$0,0.1%,"$184,012","$184,012",$0
Clayton Tune,Cardinals,2023,4,"$4,190,624","$1,047,656","$350,624",0.5%,"$4,761,056","$1,190,264","$398,351"
Cody Fajardo,Raiders,2015,3,"$1,587,500","$529,167","$12,500",0.4%,"$2,829,756","$943,253","$22,282"
Cody Kessler,CLE/JAX,2016,4,"$3,389,082","$847,271","$664,788",0.5%,"$5,574,622","$1,393,656","$1,093,494"
Cody Kessler,Eagles,2019,1,"$912,150","$912,150",$0,0.5%,"$1,237,849","$1,237,849",$0
Cody Kessler,Patriots,2019,2,"$1,565,000","$782,500",$0,0.4%,"$2,123,810","$1,061,905",$0
Cody Kessler,Patriots,2019,2,"$1,540,000","$770,000",$0,0.4%,"$2,089,883","$1,044,942",$0
Colby Suits,Jets,2024,3,"$2,830,000","$943,333",$0,0.4%,"$2,830,000","$943,333",$0
Cole Kelley,Commanders,2022,3,"$2,565,000","$855,000","$5,000",0.4%,"$3,146,499","$1,048,833","$6,134"
Cole McDonald,Titans,2020,4,"$3,396,684","$849,171","$101,684",0.4%,"$4,376,958","$1,094,240","$131,030"
Cole McDonald,Cardinals,2021,1,"$660,000","$660,000",$0,0.4%,"$923,638","$923,638",$0
Cole Stoudt,Chargers,0,3,"$1,577,000","$525,667",$0,0%,$0,$0,$0
Colin Kaepernick,49ers,2014,6,"$114,000,000","$19,000,000","$61,000,000",14.3%,"$218,914,286","$36,485,714","$117,138,346"
Colin Kaepernick,49ers,2016,2,"$31,200,000","$15,600,000","$13,275,000",10%,"$51,320,152","$25,660,076","$21,835,738"
Colin Kaepernick,49ers,2011,4,"$5,124,296","$1,281,074","$3,800,000",1.1%,"$10,872,234","$2,718,059","$8,062,471"
Colt McCoy,Commanders,2016,3,"$9,000,000","$3,000,000","$1,800,000",1.9%,"$14,803,890","$4,934,630","$2,960,778"
Colt McCoy,Commanders,2018,2,"$6,500,000","$3,250,000","$2,000,000",1.8%,"$9,368,510","$4,684,255","$2,882,619"
Colt McCoy,Cardinals,2022,2,"$7,500,000","$3,250,000","$6,000,000",1.6%,"$9,200,288","$3,986,792","$7,360,231"
Colt McCoy,Giants,2020,1,"$2,250,000","$2,250,000","$1,700,000",1.1%,"$2,899,344","$2,899,344","$2,190,616"
Colt McCoy,Commanders,2015,1,"$1,500,000","$1,500,000","$150,000",1%,"$2,673,786","$2,673,786","$267,379"
Colt McCoy,Cardinals,2021,1,"$1,212,500","$1,212,500","$137,500",0.7%,"$1,696,836","$1,696,836","$192,425"
Colt McCoy,Commanders,2014,1,"$795,000","$795,000","$65,000",0.6%,"$1,526,639","$1,526,639","$124,820"
Colt McCoy,Browns,2010,4,"$2,541,000","$635,250","$751,000",0.5%,"$5,030,786","$1,257,697","$1,486,864"
Connor Cook,Raiders,2016,4,"$2,959,888","$739,972","$619,888",0.5%,"$4,868,651","$1,217,163","$1,019,639"
Connor Cook,Lions,2019,1,"$685,000","$685,000",$0,0.4%,"$929,591","$929,591",$0
Connor Cook,Bengals,2018,1,"$129,200","$129,200",$0,0.1%,"$186,217","$186,217",$0
Connor Cook,Panthers,2018,1,"$129,200","$129,200",$0,0.1%,"$186,217","$186,217",$0
Connor Halliday,Commanders,0,3,"$1,582,500","$527,500",$0,0%,$0,$0,$0
Connor Jessop,Commanders,2018,3,"$1,710,000","$570,000",$0,0.3%,"$2,464,639","$821,546",$0
Connor Shaw,Bears,2017,1,"$465,000","$465,000",$0,0.3%,"$711,144","$711,144",$0
Cooper Rush,Cowboys,2023,2,"$5,000,000","$2,500,000","$2,750,000",1.1%,"$5,680,605","$2,840,302","$3,124,333"
Cooper Rush,Cowboys,2020,1,"$2,133,000","$2,133,000",$0,1.1%,"$2,748,578","$2,748,578",$0
Cooper Rush,Giants,2020,1,"$1,250,000","$1,250,000","$150,000",0.6%,"$1,610,747","$1,610,747","$193,290"
Cooper Rush,Cowboys,2021,2,"$1,955,000","$977,500",$0,0.5%,"$2,735,929","$1,367,964",$0
Cooper Rush,Cowboys,2022,1,"$1,035,000","$1,035,000",$0,0.5%,"$1,269,640","$1,269,640",$0
Cooper Rush,Cowboys,2017,3,"$1,670,000","$556,667","$5,000",0.3%,"$2,554,000","$851,334","$7,647"
Cooper Rush,Cowboys,2022,1,"$395,800","$395,800",$0,0.2%,"$485,530","$485,530",$0
Cooper Rush,Cowboys,2022,1,"$358,200","$358,200",$0,0.2%,"$439,406","$439,406",$0
Cooper Rush,Cowboys,2020,1,"$204,000","$204,000",$0,0.1%,"$262,874","$262,874",$0
Cooper Rush,Giants,2020,1,"$204,000","$204,000",$0,0.1%,"$262,874","$262,874",$0
Cooper Rush,Cowboys,2020,1,"$204,000","$204,000",$0,0.1%,"$262,874","$262,874",$0
Curtis Painter,Giants,0,1,"$795,000","$795,000",$0,0%,$0,$0,$0
Dak Prescott,Cowboys,2024,4,"$240,000,000","$60,000,000","$231,000,000",23.5%,"$240,000,000","$60,000,000","$231,000,000"
Dak Prescott,Cowboys,2021,4,"$160,000,000","$40,000,000","$126,000,000",21.9%,"$223,912,329","$55,978,082","$176,330,959"
Dak Prescott,Cowboys,2020,1,"$31,409,000","$31,409,000","$31,409,000",15.8%,"$40,473,555","$40,473,555","$40,473,555"
Dak Prescott,Cowboys,2016,4,"$2,723,392","$680,848","$383,392",0.4%,"$4,479,644","$1,119,911","$630,633"
