Year,Salary Cap ($),Cap Increase ($),Cap Increase (%)
2023,224800000,16600000,7.97
2022,208200000,25700000,14.08
2021,182500000,-15700000,-7.92
2020,198200000,10000000,5.31
2019,188200000,11000000,6.21
2018,177200000,10200000,6.11
2017,167000000,11730000,7.55
2016,155270000,11990000,8.37
2015,143280000,10280000,7.73
2014,133000000,9400000,7.61
2013,123600000,3000000,2.49
2012,120600000,225000,0.19
